0.082,0.156,0.04,0.119,0.107,0.162,0.165,0.112,0.108,0.164
0.067,0.141,0.04,0.106,0.096,0.165,0.156,0.099,0.117,0.156
0.056,0.125,0.04,0.089,0.09,0.164,0.143,0.082,0.125,0.14
0.048,0.107,0.042,0.069,0.086,0.159,0.127,0.062,0.135,0.122
0.045,0.09,0.046,0.048,0.083,0.148,0.109,0.041,0.143,0.104
0.043,0.075,0.053,0.025,0.082,0.135,0.09,0.019,0.148,0.085
0.045,0.064,0.06,0.003,0.082,0.119,0.074,-0.002,0.151,0.069
0.046,0.056,0.07,-0.018,0.081,0.099,0.06,-0.02,0.149,0.056
0.048,0.05,0.081,-0.034,0.078,0.082,0.051,-0.034,0.143,0.046
0.048,0.048,0.092,-0.044,0.075,0.066,0.045,-0.044,0.132,0.04
0.046,0.049,0.104,-0.05,0.069,0.053,0.041,-0.049,0.115,0.037
0.041,0.049,0.117,-0.053,0.057,0.043,0.041,-0.049,0.098,0.037
0.03,0.053,0.128,-0.05,0.045,0.037,0.041,-0.047,0.081,0.038
0.016,0.053,0.14,-0.045,0.027,0.035,0.045,-0.042,0.064,0.04
-0.004,0.053,0.148,-0.039,0.008,0.035,0.046,-0.038,0.053,0.041
-0.023,0.049,0.151,-0.033,-0.012,0.036,0.046,-0.031,0.044,0.041
-0.043,0.042,0.15,-0.028,-0.031,0.037,0.045,-0.028,0.039,0.037
-0.06,0.029,0.143,-0.026,-0.046,0.038,0.038,-0.027,0.038,0.03
-0.072,0.012,0.131,-0.028,-0.056,0.038,0.028,-0.03,0.039,0.019
-0.08,-0.007,0.114,-0.033,-0.062,0.035,0.012,-0.038,0.041,0.003
-0.082,-0.026,0.098,-0.044,-0.063,0.028,-0.005,-0.049,0.043,-0.016
-0.08,-0.044,0.082,-0.059,-0.06,0.017,-0.024,-0.065,0.046,-0.036
-0.075,-0.059,0.069,-0.075,-0.055,0.003,-0.044,-0.081,0.046,-0.055
-0.067,-0.068,0.061,-0.091,-0.047,-0.014,-0.059,-0.095,0.043,-0.07
-0.058,-0.073,0.053,-0.105,-0.041,-0.034,-0.071,-0.108,0.035,-0.081
-0.048,-0.073,0.051,-0.115,-0.034,-0.05,-0.078,-0.117,0.022,-0.088
-0.041,-0.07,0.051,-0.123,-0.03,-0.065,-0.078,-0.121,0.006,-0.088
-0.034,-0.064,0.053,-0.125,-0.028,-0.075,-0.075,-0.121,-0.013,-0.082
-0.033,-0.056,0.054,-0.123,-0.03,-0.078,-0.067,-0.117,-0.033,-0.073
-0.036,-0.046,0.056,-0.117,-0.038,-0.078,-0.059,-0.11,-0.049,-0.06
